shipment_id,transport_mode,recorded_date,recorded_time,recorded_datetime,origin_location,destination_location,cargo_type,temperature_celsius,humidity_percentage,vibration_level,pressure_kpa,exposure_duration_hours,door_open_count,salinity_ppt,thermal_leakage_score,spoilage_risk_percent,remaining_shelf_life_days,spoilage_status
RAIL0290,Intermodal Rail,2025-05-27,00:00,2025-05-27 00:00:00,Mumbai,Bengaluru,Seafood,1.6,89.2,2.3,0.0,146.8,0,0.0,3.6,25.8,3.5,At Risk
RAIL0951,Intermodal Rail,2025-01-03,11:15,2025-01-03 11:15:00,Delhi,Chennai,Flowers,3.8,81.3,2.2,0.0,132.0,0,0.0,5.0,20.9,4.3,Fresh
RAIL0325,Intermodal Rail,2024-12-21,02:00,2024-12-21 02:00:00,Kolkata,Guwahati,Seafood,-0.0,78.9,3.6,0.0,129.0,0,0.0,6.3,16.2,3.7,Fresh
RAIL0887,Intermodal Rail,2024-09-28,02:15,2024-09-28 02:15:00,Delhi,Nagpur,Pharmaceuticals,6.4,93.5,2.2,0.0,126.3,0,0.0,2.2,9.8,28.3,Fresh
RAIL0795,Intermodal Rail,2024-12-13,19:00,2024-12-13 19:00:00,Chennai,Kochi,Meat,-5.0,79.7,2.5,0.0,125.4,0,0.0,8.7,21.4,5.4,Fresh
RAIL0909,Intermodal Rail,2024-04-19,23:25,2024-04-19 23:25:00,Ahmedabad,Jaipur,Meat,5.0,57.9,0.8,0.0,165.6,0,0.0,7.1,23.5,5.0,Fresh
RAIL0309,Intermodal Rail,2025-04-15,02:45,2025-04-15 02:45:00,Guwahati,Kochi,Pharmaceuticals,4.4,93.8,2.0,0.0,162.1,0,0.0,4.6,14.5,27.0,Fresh
RAIL0515,Intermodal Rail,2025-12-21,22:20,2025-12-21 22:20:00,Chennai,Guwahati,Pharmaceuticals,1.2,35.3,2.3,0.0,144.9,0,0.0,6.7,5.0,29.0,Fresh
RAIL0958,Intermodal Rail,2024-04-02,09:10,2024-04-02 09:10:00,Guwahati,Chennai,Fruits,5.7,49.3,2.2,0.0,141.3,0,0.0,0.5,7.1,11.5,Fresh
RAIL0520,Intermodal Rail,2024-05-29,11:30,2024-05-29 11:30:00,Chennai,Kochi,Vegetables,3.6,70.2,2.4,0.0,147.5,0,0.0,7.8,22.9,8.7,Fresh
RAIL0547,Intermodal Rail,2026-04-11,00:25,2026-04-11 00:25:00,Ahmedabad,Guwahati,Dairy,7.9,87.7,2.4,0.0,134.6,0,0.0,0.9,20.3,5.8,Fresh
RAIL0818,Intermodal Rail,2025-06-17,16:40,2025-06-17 16:40:00,Chennai,Kochi,Dairy,4.9,57.9,2.4,0.0,134.0,0,0.0,4.7,12.3,6.4,Fresh
RAIL0664,Intermodal Rail,2024-06-18,05:05,2024-06-18 05:05:00,Chennai,Nagpur,Dairy,5.3,46.8,3.3,0.0,151.9,0,0.0,5.3,16.9,6.0,Fresh
RAIL0573,Intermodal Rail,2025-12-30,08:45,2025-12-30 08:45:00,Guwahati,Chennai,Vegetables,2.8,43.2,2.8,0.0,162.1,0,0.0,7.4,16.3,9.0,Fresh
RAIL0569,Intermodal Rail,2024-01-12,22:30,2024-01-12 22:30:00,Mumbai,Kochi,Seafood,-0.2,95.0,1.6,0.0,134.2,0,0.0,6.2,24.1,2.6,Fresh
RAIL0495,Intermodal Rail,2024-03-24,16:20,2024-03-24 16:20:00,Kolkata,Chennai,Dairy,2.3,49.5,3.0,0.0,127.7,0,0.0,2.6,5.6,6.6,Fresh
RAIL0334,Intermodal Rail,2025-05-03,16:15,2025-05-03 16:15:00,Guwahati,Bengaluru,Meat,2.7,66.9,2.1,0.0,120.8,0,0.0,4.7,10.1,5.0,Fresh
RAIL0981,Intermodal Rail,2024-11-07,11:45,2024-11-07 11:45:00,Kolkata,Jammu,Seafood,3.4,32.3,3.7,0.0,132.7,0,0.0,5.6,2.3,3.9,Fresh
RAIL0480,Intermodal Rail,2026-01-18,04:25,2026-01-18 04:25:00,Delhi,Jammu,Seafood,0.6,62.3,2.0,0.0,133.1,0,0.0,4.9,13.5,4.0,Fresh
RAIL0274,Intermodal Rail,2024-08-31,17:20,2024-08-31 17:20:00,Kolkata,Chennai,Meat,3.6,41.5,2.3,0.0,136.8,0,0.0,5.9,12.2,5.6,Fresh
RAIL0836,Intermodal Rail,2024-02-02,09:45,2024-02-02 09:45:00,Kolkata,Chennai,Meat,4.8,35.5,3.5,0.0,150.7,0,0.0,6.3,17.4,5.7,Fresh
RAIL0976,Intermodal Rail,2025-07-08,11:55,2025-07-08 11:55:00,Guwahati,Jaipur,Flowers,0.3,48.8,1.7,0.0,128.7,0,0.0,0.7,1.5,4.9,Fresh
RAIL0816,Intermodal Rail,2026-05-04,14:25,2026-05-04 14:25:00,Guwahati,Bengaluru,Pharmaceuticals,7.1,82.0,3.5,0.0,158.0,0,0.0,6.0,17.0,26.6,Fresh
RAIL0561,Intermodal Rail,2026-03-16,03:45,2026-03-16 03:45:00,Guwahati,Jammu,Dairy,6.6,59.9,2.2,0.0,156.2,0,0.0,2.0,16.7,5.7,Fresh
RAIL0585,Intermodal Rail,2024-02-27,23:20,2024-02-27 23:20:00,Delhi,Bengaluru,Vegetables,10.3,36.0,2.7,0.0,132.9,0,0.0,1.3,10.9,9.8,Fresh
RAIL0391,Intermodal Rail,2025-11-21,05:30,2025-11-21 05:30:00,Mumbai,Jaipur,Seafood,2.7,78.7,2.2,0.0,127.5,0,0.0,4.6,27.7,3.5,At Risk
RAIL1003,Intermodal Rail,2024-05-27,23:10,2024-05-27 23:10:00,Guwahati,Jaipur,Flowers,7.6,52.2,2.7,0.0,120.6,0,0.0,6.0,15.2,4.5,Fresh
RAIL0665,Intermodal Rail,2024-04-18,11:10,2024-04-18 11:10:00,Chennai,Kochi,Meat,2.6,87.2,2.0,0.0,164.5,0,0.0,4.4,85.0,3.0,Spoiled
RAIL0995,Intermodal Rail,2026-02-18,05:25,2026-02-18 05:25:00,Delhi,Nagpur,Vegetables,3.7,63.2,3.8,0.0,139.4,0,0.0,1.8,9.9,10.0,Fresh
RAIL0121,Intermodal Rail,2026-07-07,06:40,2026-07-07 06:40:00,Ahmedabad,Jaipur,Meat,2.0,30.0,2.1,0.0,145.6,0,0.0,4.0,5.3,6.0,Fresh
RAIL1002,Intermodal Rail,2025-06-17,16:40,2025-06-17 16:40:00,Chennai,Kochi,Dairy,4.9,59.95,2.4,0.0,134.0,0,0.0,4.7,12.3,6.4,Fresh
RAIL0899,Intermodal Rail,2024-07-01,13:40,2024-07-01 13:40:00,Ahmedabad,Jammu,Seafood,7.9,67.4,1.4,0.0,138.5,0,0.0,9.5,89.9,1.5,Spoiled
RAIL0355,Intermodal Rail,2024-12-30,21:00,2024-12-30 21:00:00,Guwahati,Jammu,Flowers,1.3,50.9,3.2,0.0,137.7,0,0.0,1.0,5.1,5.0,Fresh
RAIL0827,Intermodal Rail,2024-07-09,17:50,2024-07-09 17:50:00,Guwahati,Jammu,Fruits,8.8,54.4,1.4,0.0,144.0,0,0.0,5.8,17.0,10.6,Fresh
RAIL0359,Intermodal Rail,2024-01-14,14:25,2024-01-14 14:25:00,Mumbai,Jammu,Meat,0.8,88.2,1.8,0.0,150.2,0,0.0,5.2,19.3,5.5,Fresh
RAIL0800,Intermodal Rail,2025-10-31,19:45,2025-10-31 19:45:00,Guwahati,Jaipur,Vegetables,4.1,66.6,2.3,0.0,142.8,0,0.0,6.8,21.2,8.7,Fresh
RAIL0118,Intermodal Rail,2024-05-02,02:45,2024-05-02 02:45:00,Mumbai,Bengaluru,Vegetables,6.9,65.8,2.4,0.0,158.4,0,0.0,4.1,18.9,8.4,Fresh
RAIL0074,Intermodal Rail,2026-02-09,09:50,2026-02-09 09:50:00,Delhi,Jammu,Fruits,10.6,36.6,1.5,0.0,123.7,0,0.0,6.8,18.6,10.3,Fresh
RAIL0842,Intermodal Rail,2026-03-13,08:40,2026-03-13 08:40:00,Ahmedabad,Bengaluru,Seafood,1.8,69.1,2.6,0.0,158.6,0,0.0,3.8,23.9,3.0,Fresh
RAIL0486,Intermodal Rail,2025-07-03,04:05,2025-07-03 04:05:00,Delhi,Guwahati,Dairy,4.3,42.3,1.9,0.0,151.4,0,0.0,4.3,16.7,6.1,Fresh
RAIL0335,Intermodal Rail,2025-06-09,11:45,2025-06-09 11:45:00,Delhi,Nagpur,Seafood,1.2,72.8,1.2,0.0,135.6,0,0.0,3.5,20.0,3.4,Fresh
RAIL0666,Intermodal Rail,2024-05-10,08:10,2024-05-10 08:10:00,Mumbai,Jammu,Meat,1.1,77.0,2.9,0.0,166.3,0,0.0,4.6,18.5,5.7,Fresh
RAIL0563,Intermodal Rail,2024-12-10,05:30,2024-12-10 05:30:00,Mumbai,Bengaluru,Seafood,0.8,88.3,1.6,0.0,133.8,0,0.0,5.1,22.5,3.2,Fresh
RAIL0954,Intermodal Rail,2024-05-12,12:25,2024-05-12 12:25:00,Mumbai,Jaipur,Flowers,2.3,69.8,2.5,0.0,137.5,0,0.0,2.0,12.9,5.0,Fresh
RAIL0179,Intermodal Rail,2026-07-09,18:50,2026-07-09 18:50:00,Kolkata,Chennai,Vegetables,5.8,52.3,2.4,0.0,139.7,0,0.0,5.2,12.6,9.6,Fresh
RAIL0658,Intermodal Rail,2024-08-19,16:00,2024-08-19 16:00:00,Mumbai,Jaipur,Pharmaceuticals,9.0,63.7,2.5,0.0,126.1,0,0.0,7.1,12.5,27.7,Fresh
RAIL0224,Intermodal Rail,2024-04-28,11:55,2024-04-28 11:55:00,Mumbai,Bengaluru,Flowers,6.2,85.0,1.0,0.0,126.2,0,0.0,4.9,22.9,3.9,Fresh
RAIL0145,Intermodal Rail,2024-05-04,21:10,2024-05-04 21:10:00,Ahmedabad,Chennai,Dairy,2.9,31.0,1.9,0.0,164.9,0,0.0,4.9,14.3,6.8,Fresh
RAIL0937,Intermodal Rail,2025-10-06,11:10,2025-10-06 11:10:00,Ahmedabad,Jammu,Vegetables,7.6,65.8,3.0,0.0,142.5,0,0.0,4.6,10.9,9.4,Fresh
RAIL0724,Intermodal Rail,2024-09-26,01:40,2024-09-26 01:40:00,Guwahati,Nagpur,Pharmaceuticals,2.9,52.0,3.1,0.0,143.6,0,0.0,2.1,4.3,29.0,Fresh
RAIL0730,Intermodal Rail,2025-05-28,07:40,2025-05-28 07:40:00,Guwahati,Kochi,Flowers,7.0,84.6,1.7,0.0,153.9,0,0.0,2.2,19.6,4.4,Fresh
RAIL0906,Intermodal Rail,2026-04-19,03:20,2026-04-19 03:20:00,Guwahati,Jaipur,Dairy,3.4,62.5,2.7,0.0,124.6,0,0.0,3.3,9.4,6.3,Fresh
RAIL0695,Intermodal Rail,2025-12-11,11:15,2025-12-11 11:15:00,Mumbai,Jammu,Seafood,2.5,47.3,2.2,0.0,126.5,0,0.0,3.6,4.5,3.5,Fresh
RAIL0302,Intermodal Rail,2025-03-29,08:10,2025-03-29 08:10:00,Mumbai,Nagpur,Fruits,14.2,69.7,3.0,0.0,150.2,0,0.0,7.9,22.8,9.9,Fresh
RAIL0879,Intermodal Rail,2024-01-01,02:35,2024-01-01 02:35:00,Guwahati,Kochi,Seafood,2.4,51.3,2.1,0.0,154.1,0,0.0,3.7,12.4,4.0,Fresh
RAIL0002,Intermodal Rail,2024-07-20,01:15,2024-07-20 01:15:00,Kolkata,Bengaluru,Meat,1.1,30.0,3.2,0.0,162.4,0,0.0,3.0,1.0,5.8,Fresh
RAIL0105,Intermodal Rail,2024-06-02,05:15,2024-06-02 05:15:00,Chennai,Kochi,Vegetables,11.7,69.2,2.3,0.0,130.6,0,0.0,7.7,27.0,8.2,At Risk
RAIL0131,Intermodal Rail,2024-01-05,09:10,2024-01-05 09:10:00,Kolkata,Nagpur,Vegetables,7.8,81.1,2.0,0.0,149.8,0,0.0,4.6,25.3,8.0,At Risk
RAIL0650,Intermodal Rail,2025-05-13,01:05,2025-05-13 01:05:00,Chennai,Jaipur,Fruits,8.7,53.8,1.7,0.0,126.8,0,0.0,2.3,7.7,11.7,Fresh
RAIL0405,Intermodal Rail,2025-12-24,20:05,2025-12-24 20:05:00,Mumbai,Bengaluru,Flowers,-0.3,72.4,1.7,0.0,150.3,0,0.0,0.2,8.1,4.2,Fresh
RAIL0381,Intermodal Rail,2026-04-10,08:20,2026-04-10 08:20:00,Delhi,Guwahati,Flowers,3.3,61.3,2.9,0.0,132.6,0,0.0,2.9,16.5,4.4,Fresh
RAIL0463,Intermodal Rail,2026-06-16,03:10,2026-06-16 03:10:00,Chennai,Kochi,Pharmaceuticals,7.9,82.8,3.5,0.0,147.4,0,0.0,0.7,11.6,28.0,Fresh
RAIL0174,Intermodal Rail,2025-11-10,10:55,2025-11-10 10:55:00,Kolkata,Jammu,Meat,1.2,76.4,3.2,0.0,154.1,0,0.0,3.4,16.1,5.0,Fresh
RAIL0127,Intermodal Rail,2026-08-02,17:40,2026-08-02 17:40:00,Guwahati,Kochi,Pharmaceuticals,3.2,59.5,0.5,0.0,155.7,0,0.0,2.8,7.8,28.3,Fresh
RAIL0840,Intermodal Rail,2026-04-04,08:20,2026-04-04 08:20:00,Kolkata,Bengaluru,Vegetables,8.8,70.7,2.2,0.0,137.3,0,0.0,2.8,15.6,9.2,Fresh
RAIL0440,Intermodal Rail,2024-05-18,09:35,2024-05-18 09:35:00,Guwahati,Kochi,Dairy,0.6,84.3,2.3,0.0,120.2,0,0.0,7.0,18.5,6.0,Fresh
RAIL0725,Intermodal Rail,2024-12-29,09:40,2024-12-29 09:40:00,Chennai,Guwahati,Flowers,3.3,54.7,1.8,0.0,147.1,0,0.0,5.4,16.4,4.5,Fresh
RAIL0339,Intermodal Rail,2025-08-14,01:40,2025-08-14 01:40:00,Delhi,Bengaluru,Pharmaceuticals,1.1,64.5,2.0,0.0,129.9,0,0.0,6.5,6.9,29.1,Fresh
RAIL0269,Intermodal Rail,2026-03-21,11:10,2026-03-21 11:10:00,Mumbai,Kochi,Dairy,3.6,85.9,2.2,0.0,162.8,0,0.0,4.5,22.2,5.8,Fresh
RAIL0172,Intermodal Rail,2025-05-03,17:40,2025-05-03 17:40:00,Kolkata,Guwahati,Vegetables,10.8,73.5,3.7,0.0,133.5,0,0.0,8.0,26.9,8.3,At Risk
RAIL0083,Intermodal Rail,2024-09-02,02:55,2024-09-02 02:55:00,Delhi,Nagpur,Pharmaceuticals,7.6,60.7,4.9,0.0,136.7,0,0.0,1.7,7.4,28.7,Fresh
RAIL0999,Intermodal Rail,2024-04-28,11:55,2024-04-28 11:55:00,Mumbai,Bengaluru,Flowers,6.2,85.0,1.0,0.0,126.2,0,0.0,4.9,22.9,3.9,Fresh
RAIL0294,Intermodal Rail,2024-04-13,09:35,2024-04-13 09:35:00,Ahmedabad,Bengaluru,Dairy,8.0,64.5,4.7,0.0,166.4,0,0.0,0.5,14.0,6.3,Fresh
RAIL0841,Intermodal Rail,2026-04-10,17:35,2026-04-10 17:35:00,Kolkata,Chennai,Vegetables,7.2,64.4,0.9,0.0,151.2,0,0.0,4.2,18.3,8.5,Fresh
RAIL0700,Intermodal Rail,2025-09-20,18:05,2025-09-20 18:05:00,Delhi,Jaipur,Fruits,15.1,46.5,2.7,0.0,150.1,0,0.0,6.9,21.6,10.5,Fresh
RAIL0071,Intermodal Rail,2024-03-14,22:05,2024-03-14 22:05:00,Kolkata,Kochi,Flowers,2.6,92.4,2.6,0.0,145.9,0,0.0,5.9,84.8,2.2,Spoiled
RAIL0686,Intermodal Rail,2024-08-14,17:20,2024-08-14 17:20:00,Delhi,Jammu,Meat,2.0,55.1,1.7,0.0,131.3,0,0.0,4.0,13.4,5.5,Fresh
RAIL0032,Intermodal Rail,2024-08-27,20:35,2024-08-27 20:35:00,Guwahati,Chennai,Fruits,11.3,56.8,1.6,0.0,128.6,0,0.0,3.7,10.2,11.2,Fresh
RAIL0525,Intermodal Rail,2025-03-07,13:00,2025-03-07 13:00:00,Ahmedabad,Guwahati,Meat,0.5,55.3,1.9,0.0,157.2,0,0.0,3.0,9.0,5.7,Fresh
RAIL0843,Intermodal Rail,2025-10-04,14:00,2025-10-04 14:00:00,Kolkata,Nagpur,Seafood,-3.0,37.5,2.7,0.0,130.7,0,0.0,8.5,11.9,3.6,Fresh
RAIL0677,Intermodal Rail,2024-09-27,06:10,2024-09-27 06:10:00,Ahmedabad,Bengaluru,Meat,3.1,51.1,3.1,0.0,128.3,0,0.0,2.9,11.8,5.0,Fresh
RAIL0414,Intermodal Rail,2024-01-01,10:20,2024-01-01 10:20:00,Guwahati,Bengaluru,Dairy,2.8,30.0,2.0,0.0,137.4,0,0.0,5.5,8.6,6.9,Fresh
RAIL0636,Intermodal Rail,2025-01-26,12:30,2025-01-26 12:30:00,Chennai,Bengaluru,Meat,3.7,35.3,1.9,0.0,124.6,0,0.0,2.9,9.3,5.2,Fresh
RAIL0140,Intermodal Rail,2024-12-04,06:55,2024-12-04 06:55:00,Kolkata,Bengaluru,Seafood,1.0,78.6,2.9,0.0,152.1,0,0.0,4.7,20.1,4.0,Fresh
RAIL0240,Intermodal Rail,2025-12-29,21:25,2025-12-29 21:25:00,Chennai,Nagpur,Dairy,3.5,74.4,3.6,0.0,149.5,0,0.0,3.6,20.6,6.0,Fresh
RAIL0983,Intermodal Rail,2026-08-05,21:10,2026-08-05 21:10:00,Ahmedabad,Bengaluru,Seafood,3.1,67.3,3.1,0.0,141.1,0,0.0,5.1,19.6,3.5,Fresh
RAIL0637,Intermodal Rail,2025-09-15,00:10,2025-09-15 00:10:00,Chennai,Kochi,Fruits,9.5,48.6,1.5,0.0,163.3,0,0.0,5.4,16.5,11.2,Fresh
RAIL0386,Intermodal Rail,2025-08-04,15:10,2025-08-04 15:10:00,Chennai,Kochi,Dairy,2.0,59.9,3.1,0.0,164.2,0,0.0,5.5,17.7,5.6,Fresh
RAIL0655,Intermodal Rail,2024-04-03,17:55,2024-04-03 17:55:00,Mumbai,Jammu,Fruits,12.1,68.4,4.0,0.0,121.5,0,0.0,2.8,13.3,11.5,Fresh
RAIL0731,Intermodal Rail,2026-04-10,11:15,2026-04-10 11:15:00,Mumbai,Kochi,Vegetables,4.7,67.4,3.2,0.0,120.1,0,0.0,2.4,5.1,9.6,Fresh
RAIL0826,Intermodal Rail,2025-02-15,13:10,2025-02-15 13:10:00,Kolkata,Guwahati,Meat,-5.0,42.0,2.2,0.0,154.4,0,0.0,9.2,14.4,5.6,Fresh
RAIL0544,Intermodal Rail,2024-04-13,20:40,2024-04-13 20:40:00,Guwahati,Jaipur,Flowers,4.1,62.1,4.0,0.0,154.4,0,0.0,3.0,15.4,4.5,Fresh
RAIL0330,Intermodal Rail,2026-06-22,18:15,2026-06-22 18:15:00,Ahmedabad,Chennai,Fruits,10.9,62.0,2.7,0.0,129.3,0,0.0,3.9,11.3,11.3,Fresh
RAIL0952,Intermodal Rail,2026-05-15,14:40,2026-05-15 14:40:00,Chennai,Jaipur,Fruits,11.8,52.5,2.2,0.0,157.8,0,0.0,5.0,16.0,10.8,Fresh
RAIL0088,Intermodal Rail,2025-02-23,18:00,2025-02-23 18:00:00,Mumbai,Kochi,Dairy,2.4,60.1,3.6,0.0,155.0,0,0.0,2.0,17.1,6.4,Fresh
RAIL0559,Intermodal Rail,2025-03-30,21:30,2025-03-30 21:30:00,Chennai,Bengaluru,Flowers,2.9,60.2,2.9,0.0,156.5,0,0.0,5.8,18.4,4.6,Fresh
RAIL0997,Intermodal Rail,2025-11-12,11:30,2025-11-12 11:30:00,Chennai,Bengaluru,Vegetables,6.2,67.7,3.4,0.0,136.5,0,0.0,4.6,14.9,9.3,Fresh
